Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
ZACN,NCEH1,FCGR2A,CFB,COL11A2,GNG12-AS1,TSPY2,CD300LB,ADM,AVPR2
LINC01667,CHIT1,ACTN2,LOC101927685,SAXO2,LOC105369438,LINC01271,RAET1L,ND5,PKNOX2-AS1
SEL1L2,DDX39B,DOCK9,PSORS1C1,PKD1P6-NPIPP1,CR1,LINC00935,MIR548D1,HGF,P2RY12
CDK7,NCAPH,SEZ6L,MDC1,LOC102724200,MICAL2,SNORD124,LYVE1,TMEM174,DDX39B
CTD-2201I18.1,PROK1,SLC38A3,SPINT1,ATP6AP1L,SIRPB1,PTGER1,LINC00890,IL22,NOTCH4
KRT5,CCL7,KCNA4,RPS18,PLCH2,NEK6,OR6B3,PRRC2A,LINC01169,CNTN4-AS2
SCD,NLRP2,LHFPL3,CDCP1,MICA,CLEC4D,NAIP,LOC101928942,ADH1B,DDR1
CKMT2,FCMR,LOC154761,EGFL8,ZBTB20-AS1,MICALCL,GPR142,OLR1,HILPDA,CHAT
SAA1,DNASE2B,ITPR2,CRYZ,UPK3BL,LIN7A,MIR4479,GCSAM,LOC101928402,PRSS22
SLCO6A1,PI15,NLGN3,ABHD16A,HLA-DPB1,WDFY3,MIR657,OR10A4,SOCS3,CD86
KCNK15,LOC554223,C1QL1,TBX15,WNT3,CELF2-AS1,FEV,GNL1,ADAMTS9,TC2N
SAA2-SAA4,WSCD2,PRR32,CALCRL,MIR106A,LRRC4,OVOL1,ZNF645,HBA2,HLA-B
KLHL31,IFNLR1,HEPACAM,GNL1,NSUN5P1,NPL,PSORS1C1,IL6,SPATA8-AS1,AGAP12P
FAM166B,ACE,PCDHGA7,CSAG3,HLA-DRA,SLC22A4,CES1P1,COL11A2,FAM74A6,SCG5
LOC101929741,SPOCD1,ATP1B2,SPOCD1,C6orf25,CRISPLD2,MIR579,TRPC7,AGMO,TARP
ANKRD30A,LOC100506585,NFATC1,WDR46,C1orf167,CPEB4,IL1RL1,RXRB,LOC101927692,KRT31
SFRP2,ACOT12,CPNE5,OCIAD2,RGPD5,ZNF460,KLRG2,LINC01291,CD44,PSORS1C2
IDO1,PIK3R2,CHODL,NPIPA2,PPIAL4C,LPP,MIR4666A,PPT2,ALLC,SLC39A2
TTYH1,ARSI,MTRNR2L8,PTHLH,MIR568,PELI2,TSPY10,TUBB,F3,GABRQ
ZNF705D,LINC00484,ALDH1L1,RARRES3,TMEM249,1-Mar,HSPA1B,SUCNR1,LINC02357,LILRB5
CETP,DES,NAP1L4,HLA-DPB1,LGALS9B,WLS,TBX10,SERPINH1,LINC00396,TATDN2
CARD18,TM4SF19,GRIN2D,LOC441155,DHX36,SPOPL,ARHGAP11A,GPR183,GOLGA2P9,ADGRG7
MDC1,ACP5,TNS1,IFITM1,ZNF883,BRWD3,MIR149,LILRB4,BAALC-AS1,GPR101
MYO18B,NCAM1-AS1,ASTN1,OSBPL3,LINC00987,TET2,CYP21A2,CCL3L1,RFX4,RUVBL1-AS1
KRT14,TMEM255A,LINC00606,HOXC-AS2,CERS6-AS1,TRIB1,MIR199A1,CCL3,ACSBG1,F8A3
THBS4,GDF15,PCDHAC2,SERF1A,GZMB,PPP1R12B,CD207,LINC01845,TNFRSF11B,GTF2H4
SLC2A5,PTGES3L-AARSD1,KCND2,LOC101928270,LINC00540,RAB31,MIR4531,HLA-DRB4,FMR1NB,LILRB4
SLC35G1,GOLGA7B,TSEN34,GDF5,XRCC3,TGFA,FAM236A,LOC101929163,HMHB1,CH17-360D5.1
CFAP221,PGM5-AS1,ST6GALNAC5,COL25A1,VARS2,VNN2,CDHR5,APOC2,MIR365B,CYP4F29P
P2RX6,SLC6A15,CDH23,CCDC140,AGPAT1,MTF1,CTAG1A,LINC02407,SLC35G4,HLA-C
ALDOC,LOC400541,TNR,KRT17,A2MP1,MMP9,CLEC4F,AREG,LOC101929006,HLA-DPB1
LINC01192,GBP7,CLDN1,ZP3,PRRC2A,QPCT,SNTB2,HLA-DMB,CSN2,PPP1R18
TRIM39,UMODL1,SLC1A2,LOC102723828,ERMN,ACPP,LINC00589,RGS1,LMX1A,TMEM215
UCP1,SERTM1,CD96,HOXD9,GTF2H4,SNX13,MIR1270,ACOT12,NLRP6,PSORS1C1
FCN2,TM4SF19-AS1,HLA-A,CCHCR1,APOD,TNRC6B,GSTT2,TNFAIP3,ADGRE3,CTDP1
FAT2,PSORS1C1,ACSBG1,DDX52,SNORD60,MBOAT7,MTRNR2L8,ADAMTS9-AS1,PLCE1-AS2,LILRA4
FAM166A,PAK6,SLC9A9,JAKMIP2-AS1,OR10G2,RAB3D,FER1L6,IL4,LOC101928134,OR2T5
RNU4ATAC,PRG4,FIBCD1,PSMB8,MYRF,ALDH1A2,AQP1,LOC105372233,LOC101929124,SLC1A7
NNAT,TREM2,SLC13A5,HLA-B,PPP1R11,NHSL2,SLPI,LINC01043,LINC01553,LOC101928596
SEZ6,KCNK13,FAM212B,PLAU,SPATA3-AS1,KREMEN1,LINC01396,CSF3,CXCR2,CYP3A7-CYP3A51P
ABCC6P2,MS4A6E,CYS1,TGFBI,OVOS2,KIF13A,SLC26A7,CCL4L2,TMPRSS3,AGER
CNTN2,BRD9P2,ELOVL2,NPY,LOC105371242,SLC8A1,OR5AK4P,LOC105375972,MAB21L3,PRRC2A
LOC105376671,RASL11B,NXPH1,NPNT,NPIPB5,FOLR3,SP110,MIR4275,RHPN2,MRPS36
DEFB103A,OCSTAMP,GRM3,OSR2,KIAA0408,RBM47,LRP2,CXCL10,EMP1,RNASE6
DEFB103B,ABCB11,MASP1,BAAT,HCG25,SKAP2,LINC00609,THBS1,YBX3,VARS2
KRT71,PRPF31,C3orf70,S100A16,IGIP,MAP3K2,LOC105378049,LILRB5,MT1E,OR13C9
ELOVL6,MATK,CARS,GBP1,N4BP2L2-IT2,BCL6,LINC01193,KLRC3,MT2A,LINC02285
SAA4,ALOX15B,SCN4B,ABCA13,LINC00161,SLC6A6,PTGDR,TFPI2,HOXB7,GNL1
MUC16,CHRNA1,NRXN2,COL1A1,WFDC21P,NHS,PLA2G2A,DUSP13,OR5W2,LOC149950
LOC284379,LINC01589,DBX2,IL1R1,HCP5,MAML3,TDRD15,CCIN,MIR4428,LOC105372430
TTC9B,SPATA12,GABBR1,ENTPD3,CLDND2,PDZD8,LINC00706,MIR548O2,TNFRSF12A,UBQLN3
ABCC11,SLAMF9,GDF1,COL18A1,RNVU1-1,HDAC4,EGFL8,LOC100130331,BAG3,MIR4801
DEFB132,TAS2R31,RASGRP2,NKX2-5,SYDE1,ABHD2,SLCO1B1,AOAH-IT1,GBP1,HLA-DRA
DRD1,DKK1,SERPINE2,TAP2,SRGAP2-AS1,LRRK2,FAM170B-AS1,SNORD11,LOC401312,TAP2
KRTAP5-9,GPA33,FAM181B,GALNT5,HLA-DMB,SLC25A37,MIR4512,LOC101927895,FCGR3B,MARCO
COL11A1,WNT10B,SNX31,CD34,SNORD86,MBOAT2,PRR3,HPVC1,MIRLET7D,TMEM252
NETO1,FNDC1,FAM110C,FRMD5,PKHD1L1,DYSF,C10orf105,NPIPA1,STX11,LOC101929574
CHAC1,LINC00626,RASD2,KCNK13,KIR2DL4,TATDN2,DOC2B,CH25H,HCAR3,SUCNR1
AADACL3,LINC01050,PMP2,RGS4,PTPRVP,ARHGAP26,HCG22,NR4A3,MT1M,CD69
CPA4,SDS,SH3TC1,MEGF11,LOC100505915,SLC2A3,MIR3186,LINC00396,LOC101927358,MIR409
KCNA5,NPTX1,FAM69C,LIF,UTS2,SLC22A15,SNORA6,TCF21,OR12D3,HLA-DMB
SLC39A12-AS1,VSX2,LEFTY2,RGS5,ARL16,FAM212B,C6orf10,LINC01500,CPLX4,SNORD115-23
LOC101926941,CD300LB,LOC100506474,SOHLH2,TMEM163,PHOSPHO1,MIR566,HLA-A,ICAM3,FOLR2
BCYRN1,GOLGA6D,ENHO,LTBP2,CDIP1,LPCAT2,CTAGE15,ST8SIA2,C2CD4A,AQP12A
MOGAT2,PLA2G7,RAP1GAP,DHX16,TEKT4,CPPED1,C4B_2,HDC,MIR519A2,PPP1R11
MTRNR2L8,LRRC15,PKNOX2,FAM162B,LOC653786,MTRNR2L1,ZNF311,CCL2,CD38,DEFA1
NXPH4,HAS1,AGPAT1,STX3,LOC101928812,FAM126B,HCG20,OR2A4,MAFF,NRG1-IT3
LOC100506869,CD52,PTPRZ1,GPR176,TEKT4P2,KLF7,FER1L6-AS1,CXCL11,ND4L,OR52L1
LBP,KCNE1B,LMO2,GOLGA7B,CELSR1,NFIL3,LINC01984,LINC01354,FFAR2,HCP5
OIT3,SPP1,INHBB,ACTG2,ANK2,LILRB2,NLRP2,SERPINE1,PLIN2,TP53TG3
RHAG,ZSCAN10,ZNF704,CH25H,LOC105373805,HAL,RCHY1,HLA-L,CCDC172,MIR1289-2
STMN2,CPNE9,IGFN1,DIRAS3,TTC16,AGO2,PSPH,MIRLET7C,NTSR2,CSNK2B
LGALS7,MIR3176,SLC39A12,ALPL,C12orf71,CXCL8,MEF2D,OSM,PITX2,FKBPL
LOC105378325,COMP,TTYH2,LINC00654,LOC100506603,GAB2,SP2,TMEM215,LBP,CHCHD2
MIR708,DLX3,KCNQ2,TGFB2,LDOC1,G0S2,PTPDC1,TKTL2,MT1F,RNA5-8S5
FRG2B,LINC00334,B3GNTL1,PRRX1,NPIPA1,PLXDC2,N4BP1,MIR181B2,LINC00445,PTGR1
CYP3A4,FBP2,HRK,CD55,LOC105373984,RNF24,PITPNA,SNORD53,APOLD1,ZBTB22
PRND,FCGBP,PCDHGA10,SLFN11,TCEAL2,NDST1, SULT1A4,NREP-AS1,MIR4459,LY6H
SULT1A2,PCAT4,FAM189A2,IFITM2,ACTG1P17,MXD1,SRCIN1,TNFSF8,SNORA2A,GSTT2
MXRA5,APCDD1L,SHISA6,CCKBR,TLE6,REPS2,FAM189A1,LINC01976,HTR3E,IRAK1
GKN1,VCAN-AS1,MMP28,LOC105369486,LOC400541,PLXNC1,TSFM,MIR873,C1orf87,CTXN1
CDR1,EGR2,FOXG1,OSMR,HLA-DRB4,FNDC3B,ACOX1,GS1-600G8.3,LINC02056,IFITM3
IQCA1,ST14,VSTM1,HLA-DMB,NPIPB11,IRS2,FOXP4,DDX39B,LL22NC01-81G9.3,PCDHGB6
LOC400743,DHX16,LOC105376609,TGFB2-AS1,CRYGS,DDX3X,PSMF1,MIR876,SPINK9,SCG2
RP1,LINC01470,LINC00703,GLT8D2,LOC442028,SLC19A1,HDHD3,ATF3,FAM181A,ATP6V0C
ESM1,WNT2,EYA4,MIR155HG,LAMC3,KAZN,DEPDC5,ACY3,C6orf223,CCDC184
LY6H,MT1H,C4orf19,PPL,C6orf136,ADAMTSL4-AS1,MBD2,MICALCL,TEAD3,DLK1
CLCA3P,TNXB,CSGALNACT1,LAMA2,MAMLD1,PINK1,NFKBIB,MAGEA8,LINC00499,BEGAIN
RN7SK,OR8G5,P2RX7,SLN,B3GNT7,GK,TRA2A,OR2H2,L1TD1,TUBB
OR5AK4P,SOWAHB,WSCD1,APCDD1L,HLA-DPB2,HIPK3,TMEM2,FSCN3,OSMR,PCDHB14
OPRK1,BUB1B-PAK6,EGFL6,FIBIN,APOBEC3H,ZNF281,PRDM10,MIR146A,PPP1R3C,NME1-NME2
DPRX,PRSS22,ADGRB1,C6orf141,IGFBP3,PLBD1-AS1,AP4E1,HCG23,IFITM3,SMDT1
LINC01929,CCL4,RANBP3L,TRIM39,TRIM49D2,PGLYRP1,L2HGDH,GAGE10,LOC554223,TTYH3
TRIM67,BCL2A1,ID4,S100A6,GAS2L1P2,BACH1,XIST,ORM1,NCR1,PPDPF
LOC105378231,IFI30,KANK1,POU4F1,PRF1,ITPRIP,MDH1B,CXCL3,LOC100996447,INO80B-WBP1
SLC15A5,GHRHR,SLC7A10,SCG5,LINC00487,DOCK5,BRIX1,CTAGE4,LOC101929583,TCF19
LINC00525,LOC101929439,ZDHHC22,LRRC8E,THNSL2,MEGF9,ANXA4,FOS,DSC3,ESPN
NAT2,CALHM3,C11orf96,FLJ42969,CELF4,MMP25,KCNH2,STAP1,SPAG11A,PRAF2
DRC1,ARX,TMEM132A,HSD17B7P2,LINC00494,LILRA2,LGI4,HLA-DRB1,SERPINB13,PCDHGC3
LINC01099,KLF17,LHX2,CTSH,HLA-DOA,MGAM,MOSC2,SULT1C3,SYTL4,TMEM59L
LOC100129935,KCNK17,LOC105377716,PALMD,HLA-DOB,SLC6A10P,ZNF431,ABR,SLC2A7,LDOC1
PRSS57,ZBTB9,ADCYAP1R1,LOX,MRAP,KRT23,PCDHB2,LINC01804,LOC101928404,ADAM9
SLC22A12,BLOC1S5-TXNDC5,NTN1,CXCL8,NTN5,AP5B1,FAM120B,CCL20,HBA1,FAM127A
DIRC1,CDKL2,TCAF2,S100A2,SMAD9,FPR1,GMPPB,LOC105375747,PSMB8,LOC105379695
LINC00184,SMIM6,CPEB4,RGPD8,ZNF474,PFKFB3,DEFB109P1B,LOC101927513,HNRNPKP3,C4orf48
LOC107984640,CCL22,SLC37A2,OLFML2B,FAM86B2,KIAA0513,CCNG2,HORMAD2,MIR3943,SPOCK2
PP12613,CHI3L1,ADGRG1,TAC1,NPR2,S100A12,TNRC6B,NFKBIL1,LINC01996,ATAT1
GCGR,IHH,VSTM4,FAM83G,MUC20,TREM1,PCDHB17,CXCL2,HCG20,COX3
DEFA1,GOLGA6L10,ADAMTS2,IGSF22,DNAAF1,AQP9,F11R,MARCO,LOC100505978,RPS9
PPP1R18,IL1RN,NPR1,ICOSLG,FAM95B1,SEC14L1,GRAMD3,KIFC1,SSX4,NMB
ANKRD30B,HAPLN4,MCAM,AGAP2-AS1,LAIR2,GCA, PLGLB2,LOC101929541,SSX4B,NDUFC2-KCTD14
TADA2A,RGS1,ST8SIA5,ABCB1,LOC100506178,TMEM132D,ZNF43,MAJIN,GADD45B,CLIP3
RALYL,C18orf63,RASA4B,OR2H2,IL17D,GLT1D1,OXNAD1,MIR1343,SLC7A2,LENG1
LY86-AS1,PRSS46,GRIK3,EGFLAM,SCGB3A1,TMEM154,EGR1,MYO16-AS1,MIR3151,RNA5S2
KRT79,MRGPRX2,CCND2,FBLN5,KDM4E,ACSL1, SMG1,PPP1R18,EHHADH-AS1,RNA5S12
GAL3ST3,SLC6A7,PACRG,EDNRA,SNORD36A,MKLN1,RPL37,TTR,LINC00977,RNA5S1
TECTB,RIPOR1,VPS52,FXYD3,OR6C2,CASC2,GNG13,WWC2-AS1,KRT27,RNA5S6
APLN,HOXD11,SP6,BAALC-AS1,FAM65A,VNN3,PRTFDC1,MTCYBP44,NEXN-AS1,RNA5S4
LGALS8-AS1,NPHS1,GFAP,SVEP1,TMEM198,SORL1,PADI2,HLA-B,LINC02011,RNA5S8
ARL14EPL,DACT2,PLPP4,OAS3,KANSL1,ADCY10,NCOA7,HLA-DPA1,CYP7A1,RNA5S13
URAD,CA9,SLC6A1-AS1,TMEM229A,ZNF300,LOC100289473,ATG4B,MLNR,PIN1P1,RNA5S11
FAT3,SNORD22,SLC6A9,MGP,TNNI3K,BMX,PHGDH,PERM1,VIL1,RNA5S17
TMEM145,C2,SLC15A2,CLEC18B,RASGRF1,RRM2B,PTBP1,HSPA1A,MMP12,RNA5S3
MAP3K19,FTCD,MEG3,PTPRQ,PPP1R14A,LINC00877,SPTLC2,LINC00853,MYADML,RNA5S15
LY6D,LINC00381,CRLF1,CFI,IL13,STX3,VPS39,ATAT1,MMP10,RNA5S14
MMP13,APOBEC2,FCRLB,SERPINB1,LRRC39,PTP4A1,ZWILCH,PARD3-AS1,LINC00675,RNA5S7
RNVU1-7,CELA2B,LOC101927543,MAP7D2,RTP5,HRH2, ANKRD36B,OR4D5,HIST1H3G,RNA5S16
CNTN6,UROC1,TMPRSS15,EVC2,CYP2C8,RAPGEF2,,SNORD114-5,CCHCR1,RNA5S10
KRT7,PCSK9,C10orf105,COL6A2,FAM167B,PRRG4,,LOC102723655,TLX1,RNA5S5
SPATA13,GUSBP3,NDST3,CASP4,FAM166B,MCTP1,,LINC01999,PIRT,UPK3BL
TUBB2B,SNORA27,PRCP,ESR2,LOC105379054,DGAT2,,AVPR1B,LINC00850,BCKDHB
CES1,LINC01300,JPH3,CRHBP,MIR155HG,MIR22HG,,GOLGA6L10,MIR106A,RPS16
VIL1,KRT8P41,TEX15,LOC389332,HAVCR1P1,CD93,,RNF17,TAP1,GRIN2A
ANO4,KHDC1L,MAGI2,GSDMD,IGLL1,SSH2,,RRAD,MIR181C,NLRP2
CAPN13,KPNA7,KCNJ6,AHNAK2,DYNC2H1,PTEN,,OR9I1,MIR6746,FGFBP2
VWA3B,ATP9B,ARHGEF6,DLX2,VN1R1,LOC100289279,,NYX,PRAMEF17,PLPPR2
GNL1,STMN4,CAT,PXDNL,ABCA11P,ZNF267,,LBP,ISL1,PTPRN2
LINC01925,CHST13,COL9A3,VRTN,GNL1,ADM,,PRPH,GPX6,PIANP
DSC3,CSNK2B,MTRNR2L2,KLHDC7A,LRRC66,PLAUR,,SNORA36B,FOSL1,NDUFA3
TFF3,LY6G5B,NFKBIL1,MALL,VPS52,RC3H1,,MIR4459,ELSPBP1,RAB11B
PTPRZ1,CA3,B3GAT2,CLDN4,ZNF582-AS1,FOXO3,,MIR7851,HAP1,COX1
MIR4530,RPL9,KCNJ10,LDHA,ZNF502,HECW2,,TNFRSF12A,SCARNA14,SHOX2
MIR365B,PRRC2A,CITED1,C2orf80,SPINK2,ANXA3,,LPP-AS1,C10orf120,TIMP1
PKHD1L1,SPX,RAPGEF4,SLFN5,LCNL1,PECAM1,,STC1,CA12,GRINA
C22orf15,RORB,CBSL,LOC440895,RHOXF1,GNAQ,,HSPB1,LAIR2,ATN1
LINC01899,PAGE4,AGAP2,CLMP,CHRNA6,IGF1R,,MMP3,CLEC4D,EEF1A2
KRT16,CYR61,RXFP4,LOC101927746,LINC01570,PYGL,,SERPINB13,LOC101929528,FGFRL1
USP50,GRM7,SH3RF3,GAL,CCL20,MME,,C11orf52,LINC01533,C2orf80
DHX16,HSPA1B,KCNIP2,ELF4,DPY19L2P4,CSF3R,,ZFP57,LINC01251,PLPPR3
VCX,COL4A3,CRYAB,SYPL2,C1QA,ADGRE2,,CALCA,DYTN,PRSS56
SLC38A3,NR4A1,METTL7A,FAM160A1,KIR3DX1,FAM53C,,LINC01324,LINC02095,PRR36
RMRP,CTGF,BICC1,CCDC63,SLC13A4,CYP4F2,,MIR4256,GNGT1,SYN1
ARHGDIG,NKX3-2,SORL1,SSH3,NPIPA2,CYSTM1,,ASB17,XAGE5,MEG3
PGLYRP2,HLA-DRB4,RASSF5,CCDC168,CCL4,AOAH-IT1,,LINC01995,ADGRG3,PGK1
SLC25A41,SCN1A,LENG8,FAM53A,MMP23B,MSRB1,,CCDC169-SOHLH2,SULT1E1,EGR1
EHHADH-AS1,RPP21,METRNL,KRT7,IL1A,TCP11L2,,LINC02411,MPZL2,CDIP1
CLEC6A,HLA-A,FOXL2,IL31RA,DDX11L16,NR4A2,,MT1A,PLA1A,RPLP1
FOXH1,C4B_2,PCDHB6,ADAMTS14,GART,AATK,,LOC102725121,LOC154761,TNFRSF25
LRRTM4,RN7SL1,CAMK2N2,CLDN7,H1FNT,SVIL,,GSTT2B,IL1RL1,NSDHL
SPINK5,GAL3ST2,SNTG1,SP140L,GYPE,ARAP3,,SNORD60,TNC,ECEL1
TGM3,LOXHD1,SYT17,COL21A1,SCNN1B,MAFF,,MSX2,GLIS3,PROX1
PBK,HSPA1A,BTBD17,SLC38A5,PKP3,CDA,,FAM138B,STON2,SLC9A3R2
LINC00244,RIMS4,SNTB1,IL4R,ZACN,C5AR2,,NPBWR1,GLUL,TESC
LOC105373764,SBSPON,RPE65,LINC00528,TRIM63,TECPR2,,XG,RNASE9,NRGN
HBE1,WIF1,LINC00403,VRK2,MEOX1,SLC45A4,,PPP1R11,HOXA3,PIK3R2
TMC4,EIF3CL,C10orf54,PDE1B,SBSN,TLR4,,DNAJB1,REG4,ACHE
CLRN3,PWP2,ARMC4,MOV10L1,CBR3,FRAT2,,LOC101927815,TEDDM1,TRAPPC1
LAIR2,NPNT,C1QTNF2,S100A14,MZB1,CSRNP1,,SNORA80A,OTOS,FAIM2
HCN4,HAND2,CNN1,HYLS1,SCN5A,KDM6B,,LOC102724219,TFAP2B,ETV5
FIBCD1,HPX,FABP7,CNIH3,PNMA3,NAMPT,,IL22,IAPP,CACNG4
MIMT1,VARS2,LOC101928590,ANKRD34B,LILRB1,HIP1,,C6orf10,SPATA12,ALDOA
LINC00870,C1QTNF3,ENTPD2,HOXC9,NLGN4Y,OSM,,OR2A1,OTX2-AS1,RPL28
CKMT1A,PSAPL1,NTNG2,FZD5,CXCL3,TMEM55A,,CDKN1A,CABS1,FTH1
FAM183BP,USP32P1,DGKB,KCNN4,EML6,VMP1,,OR52B2,AQP1,PEG10
HIST1H2AK,GADD45B,PDE7B,PRPH,CDC37L1-AS1,IL17RA,,OR6T1,IL36G,BAG6
LENG9,LY6H,IL1RAP,14-Sep,MIR130B,PFKFB4,,CD93,PSORS1C1,TCEA2
MYH2,OTC,HLA-C,CASP14,KIR3DL1,ST8SIA4,,CCL3L3,GOLGA6L2,DPYSL5
C5orf67,PRUNE2,LRP1B,ATP8A2,GLRA2,COX7A1,,ANP32AP1,MUC20,RNF208
PBX2,SYTL5,NRGN,MAP1LC3A,ADAM20P1,CACNA1E,,LTF,DPPA5,CNOT3
LINC01787,SLC27A2,MDGA2,IGFBP6,SNORD6,CA4,,SPANXN1,LOC283038,ZNF865
LINC01704,TEX15,NFIA,GCHFR,LRRC37A,TLR5,,LINC01669,OR4C16,COL26A1
SERPINB7,SLC27A6,PCDHB15,HOXC6,XCL2,ABHD5,,LINC00633,AMPD1,MTRNR2L2
CRH,AHSP,TMEM59L,KCNIP4,MIR214,RTN3,,SPANXD,MBL2,CALY
PRL,KCNJ16,PLCE1-AS1,GFPT2,ETV1,GLUL,,HLA-DQB1-AS1,LOC101929721,SOX12
SSMEM1,AGBL4,TBX2,HOXC-AS1,ADAMTS14,MOSPD2,,HSPA1B,XIRP2,GSK3A
CASP14,OSR2,ADGRB3,HHEX,ATP6V1G2,STK38L,,FOSB,LINC01775,NNAT
DLG1-AS1,LINC00890,TCERG1L,GBP3,ZNF286A,BAZ2B,,PCSK5,TBX15,TIMP2
CKMT1B,FHOD3,ERBB3,MVP,DCANP1,REL,,NPAS4,DDIT4L,MARCKSL1
FREM3,IGDCC4,ZNF728,STYK1,DDR1,HSPA6,,NR4A1,MTCYBP45,CCDC85B
WDR64,SMN1,CNGA3,SPATA18,SGCA,CORO1C,,VARS,CR1L,GNB2
SSX7,PPFIA2,SNX10,ZNF702P,PRR3,FOSL2,,RGS16,PDILT,VSX2
PCP4,STRA6,IFI44L,NEURL3,NPNT,LSM14A,,ADM,POU4F1,H1FX
CSN1S1,C21orf33,GABRG2,ZNF600,TSKS,TP53INP2,,EGR2,ADORA2B,KCNG1
FAM83C-AS1,RGS2,PLCE1,FBXO43,MUSTN1,FAR1,,ZFP36,LINC01467,MIF
PSORS1C1,FOXL2,ADGRA1,ISLR,NCKAP5,PHF24,,BAG3,TUBA3C,SLC22A17
MYEOV,FOSB,COL5A2,CCDC190,C1QB,ZBTB21,,CCRL2,LY6G5B,PTOV1
HLA-DMB,NPIPA1,PDGFA,HSPB8,IMPG1,DCP2,,FAM72C,OSTM1-AS1,CAMK2N2
WNT7A,OPN5,FAM13C,DPYD,GNAO1,SCRT2,,LIF,KRT24,TMEM160
LOC101928739,HLA-DQA1,PTGDS,CCNO,FOXA3,APOBEC3A,,NCF1C,SLC35G3,MMP2
SEC23A-AS1,RYR2,NOMO1,PARP12,LOC102723968,TMCC3,,GADD45B,GRIN2C,ND3
KRT15,SLITRK4,KCNK10,HLA-L,GRM2,PELI1,,C11orf91,DCDC2C,ATP6V0D1
SPP1,TTC3-AS1,GTF2H4,KCNS1,MIR296,PPP1R15B,,XIRP1,GLI2,LGALS3
CDKN2B,ITIH3,LCN9,MBP,SLC10A5,ZNF516,,LINC02138,LGALS17A,STUB1
TNMD,QRFPR,PAQR6,PRDM16,ZNF285,FCGR2A,,RNF122,YAP1,CXCR5
LEP,FOXL2NB,SPON1,EPS8L2,MRPL23-AS1,R3HDM4,,TM4SF1,TGM7,CPSF1
RPP21,FAM46B,MAOB,ADRA1B,CRMP1,S100A9,,LST1,SMC1B,G6PC3
LILRB4,SMOC1,SOX6,AMPD3,CCL4L2,LOC101928389,,MEDAG,PAGE5,CELSR3
CHIT1,TRIM26,MIR556,ST14,FAM153B,HCAR3,,RTP3,IL32,ARHGDIA
LRRC37A,FIBIN,FAM198B,FGF19,FGF7,PTPRE,,IL1RN,PSORS1C3,APC2
